,Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
30,20/10/1919,,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,0,0,1,0,0,0,0,Crashed into the sea while attempting to land in fog.,"Folkestone, Kent",51.0791335,1.1794073,POINT (51.07913350000001 1.1794073)
31,30/10/1919,,US Aerial Mail Service,,,De Havilland DH.4,77,77,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.","Long Valley, New Jersey",40.7816465,-74.75923892,POINT (40.7816465 -74.7592389209058)
32,11/12/1919,,Aircraft Travel Transport,,Paris - Hounslow,de Havilland DH-4,G-EAHF,,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.,"Catherham, Surrey, UK",51.253434,-0.474562,POINT (51.25343400000001 -0.474562)
33,10/03/1920,,US Aerial Mail Service,,,De Havilland DH-4,65,,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.","New Paris, Indiana",41.5045465,-85.82410565,POINT (41.5045465 -85.8241056526596)
34,30/03/1920,,US Aerial Mail Service,,Washington - Newark,De Havilland DH-4,72,,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,"Newark, New Jersey",40.735657,-74.1723667,POINT (40.735657 -74.1723667)
35,10/04/1920,,US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,"Newark, New Jersey",40.735657,-74.1723667,POINT (40.735657 -74.1723667)
36,11/04/1920,,US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.,"Heller Field, New Jersey",40.9354609,-74.66115133,POINT (40.9354609 -74.66115133118392)
37,12/05/1920,,US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.","Oskaloosa, Iowa",41.2963365,-92.6449612,POINT (41.2963365 -92.64496120000001)
38,6/06/1920,,US Aerial Mail Service,,,De Havilland DH-4,204,,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.,"Cleveland, Ohio",41.5051613,-81.6934446,POINT (41.5051613 -81.69344460000001)
39,20/07/1920,,Compañia Colombiana de Navegación Aérea,,,Farman F-40,,,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,"Cartagena, Columbia",10.4195841,-75.5271224,POINT (10.4195841 -75.52712240000002)
40,16/08/1920,,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.,"Bedford, England",52.1363806,-0.4675041,POINT (52.1363806 -0.4675041)
41,16/08/1920,,US Aerial Mail Service,,,De Havilland DH-4,317,,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.","College Park, Maryland",38.980666,-76.9369189,POINT (38.980666 -76.93691889999999)
42,1/09/1920,,US Aerial Mail Service,,,Junkers JL-6,305,,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.","Morristown, New Jersey",40.7970384,-74.4809492,POINT (40.7970384 -74.48094920000003)
43,15/09/1920,,US Aerial Mail Service,,,Junkers F-13,308,,2,,,2,,,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,"Pemberville, Ohio",41.4108855,-83.46104,POINT (41.4108855 -83.46104)
44,27/09/1920,,US Aerial Mail Service,,,De Havilland DH-4,316,,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,"Hillersburg, Pennsylvania",41.447398,-77.833685,POINT (41.447398 -77.833685)
45,2/10/1920,,Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.,"Port Vendres, France",42.5204146,3.1056167,POINT (42.5204146 3.1056167)
46,5/10/1920,,Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.,"Valencia, Spain",39.4699014,-0.3759513,POINT (39.4699014 -0.3759513)
47,15/10/1920,,US Aerial Mail Service,,,De Havilland DH-4,76,,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,"Batavia, Illinois",-6.1753942,106.827183,POINT (-6.1753942 106.827183)
48,7/11/1920,,US Aerial Mail Service,,,De Havilland DH-4,,178,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.,"Tie Siding, Wyoming",41.0802621,-105.5074905,POINT (41.08026210000001 -105.5074905)
49,14/12/1920,12:15,Handley Page Transport,,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,"London, England",51.5073219,-0.1276474,POINT (51.5073219 -0.1276474)
50,24/12/1920,,Aeropostale,,,Breguet 14,F-ALBO,57,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.,"Barcelona, Spain",41.3828939,2.1774322,POINT (41.3828939 2.1774322)
51,3/02/1921,,US Aerial Mail Service,,,De Havilland DH-4,130,,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,"Mendota,Minnesota",44.8871878,-93.1643869,POINT (44.8871878 -93.1643869)
52,9/02/1921,,US Aerial Mail Service,,,Junkers F-13,301,,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,"La Crosse, Wisconsin",43.8014053,-91.2395429,POINT (43.8014053 -91.2395429)
53,15/02/1921,,Aeropostale,,,Breguet 14,F-ALBA,,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,Gibraltar,36.10674695,-5.335277183,POINT (36.10674695 -5.33527718348356)
54,22/02/1921,,US Aerial Mail Service,,,De Havilland DH-4,67,,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed .","Elko, Nevada",41.1958128,-115.3272864,POINT (41.1958128 -115.3272864)
55,6/04/1921,,Military - Royal Australian Air Force,,,"  	 Avro 504",H3021,,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.","Point Cook, Australia",-37.9064862,144.7533059,POINT (-37.9064862 144.7533059)
56,21/04/1921,,US Aerial Mail Service,,,De Havilland DH-4,160,,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed.,"Mitchel Field, NY",40.734982,-73.5944933,POINT (40.734982 -73.5944933)
57,29/04/1921,,US Aerial Mail Service,,,De Havilland DH-4,196,,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.","Cleveland, Ohio",41.5051613,-81.6934446,POINT (41.5051613 -81.69344460000001)
58,17/05/1921,,US Aerial Mail Service,,,De Havilland DH-4 De Havilland DH-4,176,,1,0,1,1,0,1,0,Crashed while attempting to land.,"Rock Springs, Wyoming",41.5869225,-109.2047867,POINT (41.5869225 -109.2047867)
59,14/08/1921,,Aeropostale,,,Breguet 14,F-ALBI,,2,,,2,,,0,,"Toulouse, France",43.6044622,1.4442469,POINT (43.6044622 1.4442469)
60,24/08/1921,17:40,Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46,0,46,46,0,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,"River Humber, England",53.6542257,-0.1971576,POINT (53.6542257 -0.1971576)
61,6/09/1921,,Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,"Paris, France",48.8566969,2.3514616,POINT (48.8566969 2.3514616)
62,5/12/1921,,West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,"Murchinson River, Australia",-36.6153889,145.2382442,POINT (-36.6153889 145.2382442)
63,14/01/1922,,Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,4,1,5,4,1,5,Crashed at Le Bourget field.,"Paris, France",48.8566969,2.3514616,POINT (48.8566969 2.3514616)
64,21/02/1922,,Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,,,34,,,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,"Norfolk, Virginia",36.8462923,-76.2929252,POINT (36.84629229999999 -76.2929252)
65,22/03/1922,11:40,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),,,6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",North Atlantic Ocean,40,-40,POINT (40 -40)
66,7/04/1922,13:15,Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","Grandvilliers, France",49.6647765,1.9428278,POINT (49.6647765 1.9428278)
67,8/04/1922,,,,Test,,,,17,0,17,17,0,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,"Pao Ting Fou, China",38.8934487,111.1791314,POINT (38.8934487 111.1791314)
68,3/06/1922,,Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3,2,1,3,2,1,0,Went down into the English Channel while en route.,"Folkestone, Kent, England",51.0791335,1.1794073,POINT (51.07913350000001 1.1794073)
69,4/07/1922,,,,Hamburg - Berlin,LVG C VI,,,3,2,1,2,1,1,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).","Fuhlsbuttel, Germany",53.6323399,10.0233695,POINT (53.6323399 10.0233695)
70,16/07/1922,16:45,Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,F-FREI,25,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,"Saverne, Lorraine, France",48.7419909,7.3625953,POINT (48.7419909 7.3625953)
71,26/07/1922,,Grands Express Aeriens,,,Breguet 14,F-ALVE,117,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.","Cadix, Spain",36.5298292,-6.2925679,POINT (36.5298292 -6.292567900000001)
72,7/09/1922,,US Aerial Mail Service,,,De Havilland DH-4,227,,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed.,"Indianapolis, Indiana",39.7683331,-86.1583502,POINT (39.7683331 -86.1583502)
73,2/10/1922,,de Havilland Air Service,,Venice - London,de Havilland DH-9,G-EAYT,14,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank.,"Venice, Italy",45.4371908,12.3345898,POINT (45.4371908 12.3345898)
74,25/10/1922,,Grands Express Aeriens,,,Breguet 14,,,2,1,1,2,1,1,0,Crashed under unknown circumstances.,"Larache, Morocco",35.1952327,-6.152913,POINT (35.19523270000001 -6.152913)
75,3/12/1922,,Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,"Fez, Morocco",34.0346534,-5.0161926,POINT (34.0346534 -5.0161926)
76,10/01/1923,,Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,4,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail.,"Ajaccio, France",41.9263991,8.7376029,POINT (41.92639910000001 8.737602900000001)
77,17/01/1923,,Grands Express Aeriens,,,Breguet 14,F-ALJU,6083-130,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.,"Barcelona, Spain",41.3828939,2.1774322,POINT (41.3828939 2.1774322)
78,18/01/1923,,US Aerial Mail Service,,,De Havilland DH-4,223,,1,0,1,1,0,1,0,Crashed during a mail flight.,"Cheyenne, Wyoming",41.139981,-104.820246,POINT (41.139981 -104.820246)
79,26/02/1923,,US Aerial Mail Service,,,De Havilland DH-4,291,,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,"Meadville, Pennsylvania",41.641445,-80.151449,POINT (41.641445 -80.151449)
80,14/05/1923,13:42,Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,F-AEBY,15,6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","Amiens, Picrdie, France",49.899796,2.2163,POINT (49.899796 2.2163)
81,27/08/1923,17:30,Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11,9,2,1,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.","East Mallling, United Kingdom",51.188191,-2.225989,POINT (51.188191 -2.225989)
82,27/08/1923,,Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,28,2,1,1,2,1,1,0,Crashed while on approach to Bucharesst.,"Bucharest, Romania",44.4361414,26.1027202,POINT (44.4361414 26.1027202)
83,7/09/1923,,US Aerial Mail Service,,,De Havilland DH-4,283,,1,0,1,1,0,1,0,Crashed during an emergency landing attempt.,"Colton, Ohio",41.4647742,-83.9524442,POINT (41.4647742 -83.9524442)
84,14/09/1923,18:00,Daimler Airways,,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5,3,2,5,3,2,0,Crashed while attempting a forced landing after encountering heavy rain.,"Ivinghoe, Buckinghamshire, England",51.8364034,-0.6298887,POINT (51.8364034 -0.6298887)
85,18/11/1923,,CCCP,,,Junkers F-13,D-257,,5,2,3,3,1,2,0,Crashed during a training flight.,Russia,64.6863136,97.7453061,POINT (64.68631360000001 97.74530609999999)
86,6/12/1923,,US Aerial Mail Service,,,De Havilland DH-4,318,,1,0,1,1,0,1,0,Crashed under unknown circumstances.,"Castalia, Ohio",41.4000523,-82.8085204,POINT (41.4000523 -82.80852040000001)
87,23/12/1923,2:30,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,,,52,,,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",the Mediterranean Sea,35.0000035,19.9999957,POINT (35.0000035 19.9999957)
88,24/12/1923,,US Aerial Mail Service,,,De Havilland DH-4,315,,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.,"Egbert, WY",41.1710716,-104.2552567,POINT (41.17107160000001 -104.2552567)
89,7/03/1924,,US Aerial Mail Service,,,De Havilland DH-4,327,,1,0,1,1,0,1,0,Crashed during a snowstorm.,"Grampian, Pennsylvania",40.9658932,-78.6130822,POINT (40.9658932 -78.61308220000002)
90,24/04/1924,,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,2,1,3,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,the English Channel,50.1344865,-1.9138205,POINT (50.1344865 -1.9138205)
91,8/06/1924,,SCADTA,,Barranquilla - Bogota,Junkers F-13,A16,684,5,3,2,5,3,2,0,Stalled after taking off and crashed into houses..,"Barranquilla, Colombia",10.9799669,-74.8013085,POINT (10.9799669 -74.80130849999998)
92,1/08/1924,,US Aerial Mail Service,,,De Havilland DH-4,297,,1,0,1,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",United States,39.7837304,-100.4458825,POINT (39.7837304 -100.4458825)
93,6/11/1924,,Grands Express Aeriens,,,Breguet 14,F-AFBD,,1,0,1,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed.","Cabrerolles, France",43.5445,3.12514,POINT (43.5445 3.12514)
94,21/12/1924,,US Aerial Mail Service,,,De Havilland DH-4,311,,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.","Goshen, Indiana",41.5824086,-85.834366,POINT (41.5824086 -85.834366)
95,24/12/1924,12:00,Imperial Airways,,London - Paris,de Havilland DH-34B,G-EBBX,36,8,7,1,8,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.","Purley, England",51.3385156,-0.115893,POINT (51.3385156 -0.115893)
96,22/03/1925,,Zakavia,,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5,3,2,5,3,2,0,Shortly after take off the plane went out of control and crashed in flames.,"Tiflis, Georgia, USSR",41.640226,42.99442,POINT (41.640226 42.99442)
97,25/04/1925,,Grands Express Aeriens,,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3,1,2,3,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.","Alicante, Spain",38.353738,-0.4901846,POINT (38.353738 -0.4901846)
98,25/06/1925,,KLM Royal Dutch Airlines,,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4,3,1,4,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.","Landrécies, France",50.1250142,3.6913023,POINT (50.1250142 3.6913023)
99,26/06/1925,,Grands Express Aeriens,,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,,2,0,2,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed.,"Alicante, Spain",38.353738,-0.4901846,POINT (38.353738 -0.4901846)
100,20/07/1925,,Lignes Aeriennes Latecoere,,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1,0,1,1,0,1,0,Crashed in unknown circumstance.,"Rosas, Spain",42.2632018,3.1755328,POINT (42.2632018 3.1755328)
101,24/07/1925,,CIDNA,,,Potez IX,,,1,0,1,1,0,1,0,Crashed while attempting to land 10 km from the airport,"Budapest, Hungary",47.4983815,19.0404707,POINT (47.4983815 19.0404707)
102,3/09/1925,5:30,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,,,14,,,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.","Caldwell, Ohio",39.7478508,-81.5165127,POINT (39.74785079999999 -81.51651269999998)
103,7/09/1925,,CIDNA,,,Spad 33,,,,,,,,,,,"Toul, France",48.6762624,5.8941759,POINT (48.6762624 5.8941759)
